Concepto,Funete (citas),Binarización,Contraposición,pg,
recurrence,"Thus the unity of treatment is to be looked for in the gradual development of the scheme, in meaning and in relevance, and not in the successive treatment of particular topics. For example, the doctrines of time, of space, of perception, and of causality are recurred to again and again, as the cosmology develops. In each recurrence, these topics throw some new light on the scheme, or receive some new elucidation. At the end, in so far as the enterprise has been successful, there should be no problem of space-time, or of epistemology, or of causality, left over for discussion.",gradual development (recurring) / succesive treatment,"multi-sided, method",xii,
interconnection,The scheme should have developed all those generic notions adequate for the expression of any possible interconnection of things.,,"cosmology, scheme, generic notions, expression, development, adequatio",,
development,,,,,
generic notions,?,,scheme,,
framing,"The fifth part is concerned with the final interpretation of the ultimate way in which the cosmological problem is to be conceived. It answers the question, What does it all come to? In this part, the approximation to Bradley is evident. Indeed, if this cosmology be deemed successful, it becomes natural at this point to ask whether the type of thought involved be not a transformation of some main doctrines of Absolute Idealism onto a realistic basis.",subscription / independence // realism / idealism,"realism, idealism, cosmology, theoretical transformation, ?, method",,
repudiations,"These lectures will be best understood by noting the following list of prevalent habits of thought, which are repudiated, in so far as concerns their influence on philosophy:
(i) The distrust of speculative philosophy.
(ii) The trust in language as an adequate expression of propositions.
(iii) The mode of philosophical thought which implies, and is implied
by, the faculty-psychology.
(iv) The subject-predicate form of expression.
(v) The sensationalist doctrine of perception.
( vi) The doctrine of vacuous actuality.
(vii) The Kantian doctrine of the objective world as a theoretical con-
struct from purely subjective experience.
(viii) Arbitrary deductions in ex absurdo arguments.
(ix) Belief that logical inconsistencies can indicate anything else than
some antecedent errors. 
By reason of its ready acceptance of some, or all, of these nine myths and fallacious procedures, much nineteenth-century philosophy excludes itself from relevance to the ordinary stubborn facts of daily life.",lectures / <everything in the quote>,"<everything in the quote>, relevance to the understanding of the stubborn facts of daily life, method",xiii,
becoming,"The positive doctrine of these lectures is concerned with the becoming, the being, and the relatedness of 'actual entities.'",substance / primary substance,"relatedness, actual entitites, philosophy of organism",xiii,
actual entity,"(xiii) An 'actual entity' is ares vera in the [ix] Cartesian sense of that term; it is a Cartesian 'substance,' and not an Aristotelian 'primary substance.'",substance / primary substance,"becoming, relatedness,  philosophy of organism",,
relatedness,"But Descartes retained in his metaphysical doctrine the Aristotelian dominance of the category of 'quality' over that of 'relatedness.' In these lectures 'relatedness' is dominant over 'quality.' All relatedness has its foundation in the relatedness of actualities; and such relatedness is wholly concerned with the appropriation of the dead by the living -that is to say, with 'objective immortality' whereby what is divested of its own living immediacy becomes a real component in other living immediacies of becoming. This is the doctrine that the creative advance of the world is the becoming, the perishing, and the objective immortalities of those things which jointly constitute stubborn fact.",relatedness / quality,"becoming, actualities, objective immortality, component, composition",xiii - xiv,
composition,"(see quotes on relatedness and cosmology) 
(reframeable as construction)
(xiii) But Descartes retained in his metaphysical doctrine the Aristotelian dominance of the category of 'quality' over that of 'relatedness.' In these lectures 'relatedness' is dominant over 'quality.' All relatedness has its foundation in the relatedness of actualities; and such relatedness is wholly concerned with the appropriation of the dead by the living -that is to say, with 'objective immortality' whereby what is divested of its own living immediacy becomes a real component in other living immediacies of becoming. This is the doctrine that the creative advance of the world is the becoming, the perishing, and the objective immortalities of those things which jointly constitute stubborn fact.

(xiv) The history of philosophy discloses two cosmologies which at different periods have dominated European thought, Plato's Timaeus, and the cosmology of the seventeenth century, whose chief authors were Galileo, Descartes, Newton, Locke. In attempting an enterprise of the same kind, it is wise to follow the clue that perhaps the true solution consists in a fusion of the two previous schemes, with modifications demanded by self-consistency and the advance of knowledge. The cosmology explained in these lectures has been framed in accordance with this reliance on the positive value of the philosophical tradition.

(xv) First, that the movement of historical, and philosophical, criticism of detached questions, which on the whole has dominated the last two centuries, has done its work, and requires to be supplemented by a more sustained effort of constructive thought. Secondly, that the true method of philosophical construction is to frame a scheme of ideas, the best that one can, and unflinchingly to explore the interpretation of experience in terms of that scheme.",detachment (independence) / relation,"method, whole, adequatio, becoming, relatedness, truth-proof-view-theory, composition","xiv, xv",
"failure (fault, falla)","(xv) There remains the final reflection, how shallow, puny, and imperfect are efforts to sound the depths in the nature of things. In philosophical discussion, the merest hint of dogmatic certainty as to finality of statement is an exhibition of folly.","imprefect statements / dogmatic certainty 
uncertainty / statement of finality","experience, scientific or modern knowledge, nature of things",,
